ts_entry,ts_settle,signal,price_entry,model,p_up,p_down,EV_up,EV_down,kelly_raw,kelly_25pct,src,close
2025-10-20 23:00:00+00:00,2025-10-21 00:00:00+00:00,UP,110548.5,CAL,0.596,0.404,0.1241,-0.14,0.14,0.035,CAL,110548.5
2025-10-21 00:00:00+00:00,2025-10-21 01:00:00+00:00,DOWN,110743.65,CAL,0.469,0.531,-0.1157,0.1304,0.116,0.029,CAL,110743.65
2025-10-21 01:00:00+00:00,2025-10-21 02:00:00+00:00,UP,110495.01,CAL,0.589,0.411,0.1105,-0.1246,0.125,0.031,CAL,110495.01
2025-10-21 02:00:00+00:00,2025-10-21 03:00:00+00:00,UP,110453.6,CAL,0.589,0.411,0.1119,-0.1262,0.126,0.032,CAL,110453.6
2025-10-21 03:00:00+00:00,2025-10-21 04:00:00+00:00,UP,109863.18,CAL,0.625,0.375,0.1797,-0.2026,0.203,0.051,CAL,109863.18
2025-10-21 04:00:00+00:00,2025-10-21 05:00:00+00:00,UP,109540.43,CAL,0.656,0.344,0.2382,-0.2687,0.269,0.067,CAL,109540.43
2025-10-21 05:00:00+00:00,2025-10-21 06:00:00+00:00,UP,109022.92,CAL,0.651,0.349,0.2288,-0.258,0.258,0.064,CAL,109022.92
2025-10-21 06:00:00+00:00,2025-10-21 07:00:00+00:00,UP,107911.76,CAL,0.581,0.419,0.0967,-0.109,0.109,0.027,CAL,107911.76
2025-10-21 07:00:00+00:00,2025-10-21 08:00:00+00:00,UP,107566.33,CAL,0.632,0.368,0.1927,-0.2173,0.217,0.054,CAL,107566.33
2025-10-21 08:00:00+00:00,2025-10-21 09:00:00+00:00,UP,107861.83,CAL,0.63,0.37,0.1889,-0.213,0.213,0.053,CAL,107861.83
2025-10-21 09:00:00+00:00,2025-10-21 10:00:00+00:00,UP,108042.71,CAL,0.598,0.402,0.1287,-0.1451,0.145,0.036,CAL,108042.71
2025-10-21 10:00:00+00:00,2025-10-21 11:00:00+00:00,UP,107690.35,CAL,0.615,0.385,0.1611,-0.1817,0.182,0.045,CAL,107690.35
2025-10-21 11:00:00+00:00,2025-10-21 12:00:00+00:00,UP,107753.2,CAL,0.65,0.35,0.2267,-0.2557,0.256,0.064,CAL,107753.2
2025-10-21 12:00:00+00:00,2025-10-21 13:00:00+00:00,DOWN,108420.1,CAL,0.398,0.602,-0.2498,0.2816,0.25,0.062,CAL,108420.1
2025-10-21 13:00:00+00:00,2025-10-21 14:00:00+00:00,DOWN,108580.01,CAL,0.397,0.603,-0.2518,0.284,0.252,0.063,CAL,108580.01
2025-10-21 14:00:00+00:00,2025-10-21 15:00:00+00:00,DOWN,108799.83,CAL,0.409,0.591,-0.2278,0.2569,0.228,0.057,CAL,108799.83
2025-10-21 15:00:00+00:00,2025-10-21 16:00:00+00:00,DOWN,108495.82,CAL,0.376,0.624,-0.2913,0.3284,0.291,0.073,CAL,108495.82
2025-10-21 16:00:00+00:00,2025-10-21 17:00:00+00:00,DOWN,112155.11,CAL,0.391,0.609,-0.2613,0.2947,0.261,0.065,CAL,112155.11
2025-10-21 17:00:00+00:00,2025-10-21 18:00:00+00:00,DOWN,113441.42,CAL,0.314,0.686,-0.4067,0.4586,0.407,0.102,CAL,113441.42
2025-10-21 19:00:00+00:00,2025-10-21 20:00:00+00:00,DOWN,112015.23,CAL,0.435,0.565,-0.1792,0.2021,0.179,0.045,CAL,112015.23
2025-10-21 20:00:00+00:00,2025-10-21 21:00:00+00:00,DOWN,112010.5,CAL,0.391,0.609,-0.2618,0.2952,0.262,0.065,CAL,112010.5
2025-10-21 21:00:00+00:00,2025-10-21 22:00:00+00:00,DOWN,111680.7,CAL,0.412,0.588,-0.2234,0.2519,0.223,0.056,CAL,111680.7
2025-10-21 21:00:00+00:00,2025-10-21 22:00:00+00:00,DOWN,111680.7,CAL,0.412,0.588,-0.2234,0.2519,0.223,0.056,CAL,111680.7
2025-10-21 22:00:00+00:00,2025-10-21 23:00:00+00:00,UP,110707.45,CAL,0.583,0.417,0.1004,-0.1132,0.113,0.028,CAL,110707.45
2025-10-22 00:00:00+00:00,2025-10-22 01:00:00+00:00,UP,109004.69,CAL,0.596,0.404,0.1252,-0.1412,0.141,0.035,CAL,109004.69
2025-10-22 01:00:00+00:00,2025-10-22 02:00:00+00:00,UP,108243.7,CAL,0.603,0.397,0.1381,-0.1558,0.156,0.039,CAL,108243.7
2025-10-22 02:00:00+00:00,2025-10-22 03:00:00+00:00,UP,108058.73,CAL,0.568,0.432,0.0721,-0.0814,0.081,0.02,CAL,108058.73
2025-10-22 03:00:00+00:00,2025-10-22 04:00:00+00:00,UP,108334.9,CAL,0.631,0.369,0.1903,-0.2145,0.215,0.054,CAL,108334.9
2025-10-22 04:00:00+00:00,2025-10-22 05:00:00+00:00,UP,108166.8,CAL,0.645,0.355,0.2163,-0.2439,0.244,0.061,CAL,108166.8
2025-10-22 05:00:00+00:00,2025-10-22 06:00:00+00:00,UP,108166.33,CAL,0.59,0.41,0.1124,-0.1267,0.127,0.032,CAL,108166.33
2025-10-22 07:00:00+00:00,2025-10-22 08:00:00+00:00,UP,108123.18,CAL,0.543,0.457,0.0253,-0.0285,0.029,0.007,CAL,108123.18
2025-10-22 09:00:00+00:00,2025-10-22 10:00:00+00:00,DOWN,108266.67,CAL,0.472,0.528,-0.1102,0.1242,0.11,0.028,CAL,108266.67
2025-10-22 10:00:00+00:00,2025-10-22 11:00:00+00:00,DOWN,108272.43,CAL,0.382,0.618,-0.279,0.3147,0.279,0.07,CAL,108272.43
2025-10-22 14:00:00+00:00,2025-10-22 15:00:00+00:00,DOWN,108060.48,CAL,0.417,0.583,-0.2127,0.2399,0.213,0.053,CAL,108060.48
2025-10-22 15:00:00+00:00,2025-10-22 16:00:00+00:00,DOWN,108651.82,CAL,0.365,0.635,-0.312,0.3518,0.312,0.078,CAL,108651.82
2025-10-22 16:00:00+00:00,2025-10-22 17:00:00+00:00,DOWN,108895.01,CAL,0.318,0.682,-0.4001,0.4512,0.4,0.1,CAL,108895.01
2025-10-22 17:00:00+00:00,2025-10-22 18:00:00+00:00,DOWN,108393.54,CAL,0.442,0.558,-0.1652,0.1863,0.165,0.041,CAL,108393.54
2025-10-22 19:00:00+00:00,2025-10-22 20:00:00+00:00,DOWN,107823.73,CAL,0.446,0.554,-0.1585,0.1788,0.159,0.04,CAL,107823.73
2025-10-22 20:00:00+00:00,2025-10-22 21:00:00+00:00,DOWN,108014.27,CAL,0.399,0.601,-0.2472,0.2787,0.247,0.062,CAL,108014.27
2025-10-22 21:00:00+00:00,2025-10-22 22:00:00+00:00,DOWN,107937.35,CAL,0.366,0.634,-0.3096,0.3492,0.31,0.077,CAL,107937.35
2025-10-22 22:00:00+00:00,2025-10-22 23:00:00+00:00,UP,107241.99,CAL,0.556,0.444,0.0492,-0.0555,0.055,0.014,CAL,107241.99
